Date,ClosePx,TradePx,Position
2018-10-01,291.73,291.955,1
2018-10-02,291.56,291.75,0
2018-10-03,291.72,292.265,-1
2018-10-04,289.44,289.45,-2
2018-10-05,287.82,288.245,-2
2018-10-08,287.82,286.86,-1
2018-10-09,287.4,287.815,0
2018-10-10,278.3,282.395,0
2018-10-11,272.17,274.63,1
2018-10-12,275.95,274.73,1
2018-10-15,274.4,275.67,1
2018-10-16,280.4,278.445,2
2018-10-17,280.45,279.355,1
2018-10-18,276.4,277.52,0
2018-10-19,276.25,277.385,-1
2018-10-22,275.01,275.885,-2
2018-10-23,273.61,271.74,-1
2018-10-24,265.32,269.23,0
2018-10-25,270.08,269.02,0
2018-10-26,265.33,266.645,0
2018-10-29,263.86,265.05,0
2018-10-30,267.77,265.62,-1
2018-10-31,270.63,271.675,0
2018-11-01,273.51,272.055,1
2018-11-02,271.89,272.41,0
2018-11-05,273.39,272.68,1
2018-11-06,275.12,274.275,0
2018-11-07,281.01,279.09,-1
2018-11-08,280.5,280.22,-1
2018-11-09,277.76,277.71,-1
2018-11-12,272.57,274.725,0
2018-11-13,272.06,273.29,0
2018-11-14,270.2,271.53,1
2018-11-15,273.02,270.275,1
2018-11-16,273.73,272.98,1
2018-11-19,269.1,270.725,2
2018-11-20,264.12,265.075,2
2018-11-21,265.02,266.08,2
2018-11-23,263.25,263.945,2
2018-11-26,267.5,266.545,2
2018-11-27,268.4,267.03,2
2018-11-28,274.58,271.455,2
2018-11-29,273.98,273.99,2
2018-11-30,275.65,274.865,1
2018-12-03,279.3,278.955,0
2018-12-04,270.25,274.375,-1
2018-12-06,269.84,266.205,-1
2018-12-07,263.57,266.925,0
2018-12-10,264.07,261.89,0
2018-12-11,264.13,265.175,1
2018-12-12,265.46,267.185,1
2018-12-13,265.37,265.805,1
2018-12-14,260.47,261.94,1
2018-12-17,255.36,257.09,1
2018-12-18,255.08,255.615,0
2018-12-19,251.26,254.375,-1
2018-12-20,247.17,248.135,0
2018-12-21,240.7,244.845,0
2018-12-24,234.34,237.555,1
2018-12-26,246.18,239.97,1
2018-12-27,248.07,243.625,1
2018-12-28,247.75,248.925,1
2018-12-31,249.92,248.83,0
2019-01-02,250.18,248.58,1
2019-01-03,244.21,246.12,0
2019-01-04,252.39,250.14,-1
2019-01-07,254.38,253.82,-1
2019-01-08,256.77,255.655,-1
2019-01-09,257.97,257.55,-1
2019-01-10,258.88,257.33,0
2019-01-11,258.98,258.02,0
2019-01-14,257.4,257.355,-1
2019-01-15,260.35,259.255,-1
2019-01-16,260.98,261.285,-2
2019-01-17,262.96,261.94,-2
2019-01-18,266.46,264.99,-1
2019-01-22,262.86,263.06,-1
2019-01-23,263.41,262.725,0
2019-01-24,263.55,263.14,0
2019-01-25,265.78,265.18,0
2019-01-28,263.76,262.81,0
2019-01-29,263.41,263.515,0
2019-01-30,267.58,266.385,1
2019-01-31,269.93,268.87,1
2019-02-01,270.06,270.19,2
2019-02-04,271.96,270.695,2
2019-02-05,273.1,272.66,1
2019-02-06,272.74,272.63,0
2019-02-07,270.14,269.92,-1
2019-02-08,270.47,269.205,-1
2019-02-11,270.62,270.76,-1
2019-02-12,274.1,273.43,0
2019-02-13,274.99,275.245,0
2019-02-14,274.38,274.255,-1
2019-02-15,277.37,276.77,-1
2019-02-19,277.85,277.525,-2
2019-02-20,278.41,278.085,-2
2019-02-21,277.42,277.225,-2
2019-02-22,279.14,278.38,-2
2019-02-25,279.52,280.37,-2
2019-02-26,279.32,279.6,-2
2019-02-27,279.2,278.535,-2
2019-02-28,278.68,278.885,-1
2019-03-01,280.42,279.85,0
2019-03-04,279.4,279.355,0
2019-03-05,279.02,279.085,1
2019-03-06,277.33,278.065,1
2019-03-07,275.01,275.53,1
2019-03-08,274.46,273.535,2
2019-03-11,278.44,276.925,2
2019-03-12,279.49,279.46,2
2019-03-13,281.34,281.34,2
2019-03-14,281.16,281.255,2
2019-03-15,281.31,281.27,2
